zone_name,province,district_id,lat,lon,est_year_clean,year_flag,dist_road_km,website_url,source_url
Adana Haci Sabanci,Adana,TUR.1.13_1,36.9688054,35.5939917,1973,ok,0.2664682582529125,https://www.adanaorganize.org.tr,https://www.adanaorganize.org.tr/hakkimizda
Adiyaman,Adiyaman,TUR.2.6_1,37.7716866,38.211781,2001,ok,3.541508077307931,https://www.adiyamanosb.org.tr,https://www.adiyamanosb.org.tr
Afyonkarahisar,Afyonkarahisar,TUR.3.14_1,38.7970713,30.5572218,1980,ok,1.3020443445428074,https://www.afyonosb.org.tr,https://www.afyonosb.org.tr
Suhut,Afyonkarahisar,TUR.3.17_1,38.6052425,30.5840876,,ok,12.090844857060317,https://www.suhutosb.org.tr,
Aksaray,Aksaray,TUR.5.5_1,38.2727096,34.0107843,2000,ok,1.7459085849741034,https://www.aksarayosb.org.tr,https://www.aksarayosb.org.tr
Amasya,Amasya,TUR.6.4_1,40.5837427,35.6399973,1993,ok,8.148408773357247,https://www.amasyaosb.org.tr,https://www.amasyaosb.org.tr
Suluova,Amasya,TUR.6.5_1,40.8619396,35.6100507,2007,ok,0.46366131566812385,https://www.suluovaosb.org.tr,https://www.suluovaosb.org.tr
Suluova Besi,Amasya,TUR.6.6_1,40.7900014,35.6589677,,ok,1.1643029398376208,https://www.suluovabesiosb.org.tr,
Anadolu,Ankara,TUR.7.21_1,39.7990004,32.414486,2012,ok,5.535333724239909,https://www.anadoluosb.org.tr,https://www.anadoluosb.org.tr/hakkimizda
Ankara Uzay ve Havacilik Ihtisas,Ankara,TUR.7.16_1,40.0609927,32.5897089,,ok,0.06747407780633184,https://www.hab.org.tr,
Ankara-Ivedik,Ankara,TUR.7.24_1,39.9889931,32.7300605,2000,ok,2.258689391513972,https://www.ivedikosb.org.tr,https://www.ivedikosb.org.tr
Baskent,Ankara,TUR.7.21_1,39.803167,32.3796344,2003,ok,7.1625604352998185,https://www.baskentosb.org,https://www.baskentosb.org
Elmadag Mobilyacilar Ihtisas,Ankara,TUR.7.9_1,39.9331579,33.2911376,,excluded - predates first Turkish OSB (1961),0.481896418525983,https://www.mobilyacilarosb.com,https://www.mobilyacilarosb.com/hakkimizda
